t,acc
0.0 , 0.0
0.01 , 0.0
0.02 , 0.0
0.03 , 0.0
0.04 , 0.0
0.05 , 0.0001
0.06 , 0.0001
0.07 , 0.0002
0.08 , 0.0003
0.09 , 0.0005
0.1 , 0.0007
0.11 , 0.0009
0.12 , 0.0011
0.13 , 0.0011
0.14 , 0.0011
0.15 , 0.0009
0.16 , 0.0007
0.17 , 0.0004
0.18 , 0.0001
0.19 , -0.0003
0.2 , -0.0008
0.21 , -0.0014
0.22 , -0.0022
0.23 , -0.0029
0.24 , -0.0036
0.25 , -0.0042
0.26 , -0.0047
0.27 , -0.0052
0.28 , -0.0056
0.29 , -0.0057
0.3 , -0.0056
0.31 , -0.0054
0.32 , -0.005
0.33 , -0.0048
0.34 , -0.0043
0.35000000000000003 , -0.0033
0.36 , -0.002
0.37 , -0.0006
0.38 , 0.0
0.39 , -0.0005
0.4 , -0.0022
0.41000000000000003 , -0.0038
0.42 , -0.0046
0.43 , -0.0035
0.44 , -0.0009
0.45 , 0.0023
0.46 , 0.0053
0.47000000000000003 , 0.0076
0.48 , 0.009
0.49 , 0.0093
0.5 , 0.0081
0.51 , 0.0049
0.52 , 0.0
0.53 , -0.006
0.54 , -0.011
0.55 , -0.015
0.56 , -0.015
0.5700000000000001 , -0.013
0.58 , -0.01
0.59 , -0.0075
0.6 , -0.0062
0.61 , -0.0068
0.62 , -0.0081
0.63 , -0.0095
0.64 , -0.01
0.65 , -0.0097
0.66 , -0.0088
0.67 , -0.0077
0.68 , -0.0063
0.6900000000000001 , -0.005
0.7000000000000001 , -0.003
0.71 , -0.0017
0.72 , -0.0017
0.73 , -0.0028
0.74 , -0.0049
0.75 , -0.0059
0.76 , -0.0051
0.77 , -0.0025
0.78 , 0.0007
0.79 , 0.003
0.8 , 0.0028
0.81 , 0.0007
0.8200000000000001 , -0.0022
0.8300000000000001 , -0.004
0.84 , -0.0035
0.85 , -0.0016
0.86 , 0.0033
0.87 , 0.0099
0.88 , 0.019
0.89 , 0.029
0.9 , 0.038
0.91 , 0.042
0.92 , 0.04
0.93 , 0.032
0.9400000000000001 , 0.021
0.9500000000000001 , 0.011
0.96 , 0.0045
0.97 , 0.0048
0.98 , 0.0095
0.99 , 0.015
1.0 , 0.018
1.01 , 0.019
1.02 , 0.017
1.03 , 0.017
1.04 , 0.019
1.05 , 0.024
1.06 , 0.028
1.07 , 0.03
1.08 , 0.028
1.09 , 0.024
1.1 , 0.017
1.11 , 0.0089
1.12 , -0.001
1.1300000000000001 , -0.013
1.1400000000000001 , -0.023
1.1500000000000001 , -0.031
1.16 , -0.033
1.17 , -0.029
1.18 , -0.022
1.19 , -0.019
1.2 , -0.024
1.21 , -0.033
1.22 , -0.038
